source,time_step,RUL,event,167_6,397_0,167_5,397_2,158_1,291_6,397_30,427_0,397_13,459_6,397_6,397_10,Spec_1_Cat15,Spec_1_Cat5,291_1,291_10,397_9,397_7,Spec_1_Cat1,Spec_2_Cat5,459_9,171_0,397_26,167_7,397_21,291_3,272_5,397_34,397_33,459_5,397_28,Spec_2_Cat2,291_0,397_8,Spec_3_Cat2,272_3,158_2,397_12,397_3,Spec_7_Cat6,291_2,459_19,Spec_1_Cat10,Spec_7_Cat7,397_18,167_0,397_19,158_5,397_4,397_22
52,2020-01-01 03:10:00,224.8,1,376755.0,673009.0,9851850.0,333186.0,2888534.0,411.0,932.0,9960633.0,176193.0,120.000861111112,420472.0,1243.0,0,0,606.0,159.0,7677.0,274189.0,1,0,553.02763888888,273630.0,87034.0,18646.0,5620.0,1035.0,47126.0,816.0,8153.0,97.043972222222,414.0,0,1424.0,852770.0,0,802504.0,5024581.0,58634.0,12673.0,0,606.0,0.0009722222222222,0,0,13299.0,0.0,112200.0,836593.0,5618.0,452.0
52,2020-01-01 03:11:00,222.0,1,502035.0,853141.0,12497715.0,445355.0,3642194.0,469.0,1060.0,12852203.0,220425.0,146.76838888889,483030.0,1567.0,0,0,705.0,189.0,9209.0,337455.0,1,0,693.86591666666,355800.0,113155.0,33706.0,6760.0,1167.0,84527.0,1949.0,12249.0,115.104055555556,502.0,0,1733.0,1066115.0,0,1070694.0,6152689.0,66171.0,24645.0,0,702.0,0.0009722222222222,0,0,16651.0,1441.0,141365.0,1100881.0,12684.0,637.0
52,2020-01-01 03:12:00,216.4,1,653625.0,1094163.0,15249285.0,555347.0,4467938.0,559.0,1140.0,15975763.0,275934.0,173.33363888889,583766.0,1907.0,0,0,894.0,234.0,10998.0,425599.0,1,0,835.34822222222,444795.0,135363.0,50176.0,7972.0,1401.0,113283.0,2173.0,15289.0,136.858305555556,546.0,0,2117.0,1337807.0,0,1471198.0,7705885.0,83336.0,26613.0,0,846.0,0.0009722222222222,0,0,21067.0,6511.0,175265.0,1330561.0,16080.0,757.0
52,2020-01-01 03:13:00,213.0,1,862065.0,1361136.0,20222205.0,720928.0,5626779.0,706.0,1372.0,20336878.0,366162.0,221.85286111112,675815.0,2407.0,0,0,1122.0,285.0,13859.0,561023.0,1,0,1060.02697222222,566205.0,162696.0,56882.0,9664.0,1731.0,145458.0,2574.0,19885.0,174.804611111112,646.0,0,2849.0,1663183.0,0,1733226.0,9610333.0,96800.0,30214.0,0,1065.0,0.0009722222222222,0,0,25708.0,7081.0,228257.0,1686601.0,17741.0,966.0
52,2020-01-01 03:14:00,212.2,1,862065.0,1377872.0,20365710.0,726620.0,5788971.0,712.0,1389.0,20581881.0,374655.0,223.78508333334,705931.0,2447.0,0,0,1155.0,288.0,14036.0,577887.0,1,0,1071.24780555556,572400.0,162854.0,56882.0,9680.0,1776.0,145979.0,2574.0,19885.0,176.247555555556,646.0,0,2924.0,1680080.0,0,1764140.0,9737162.0,98397.0,30467.0,0,1078.0,0.0009722222222222,0,0,26124.0,7081.0,230723.0,1692949.0,17793.0,970.0
52,2020-01-01 03:15:00,210.8,1,863656.0,1445761.0,21651900.0,762224.0,6156015.0,808.0,1473.0,21767197.0,400591.0,237.63477777778,745935.0,2620.0,0,0,1200.0,306.0,14888.0,616271.0,1,0,1127.21863888888,604380.0,168806.0,56882.0,9973.0,1968.0,150503.0,2595.0,20253.0,187.88013888889,671.0,0,3104.0,1788557.0,0,1840827.0,10264706.0,103970.0,31695.0,0,1150.0,0.0009722222222222,0,0,28286.0,7081.0,244787.0,1779854.0,18086.0,1026.0
52,2020-01-01 03:16:00,209.2,1,863881.0,1511009.0,22919205.0,794176.0,6503319.0,926.0,1497.0,22912143.0,425887.0,253.43269444444,770640.0,2882.0,0,0,1242.0,318.0,15913.0,656099.0,1,0,1197.00602777778,634320.0,174095.0,56882.0,10338.0,2103.0,158342.0,2607.0,20673.0,200.30294444444,724.0,0,3263.0,1885385.0,0,1900172.0,10754187.0,107567.0,35960.0,0,1201.0,0.0009722222222222,0,0,30531.0,7081.0,259115.0,1849946.0,20119.0,1126.0
52,2020-01-01 03:17:00,208.0,1,906571.0,1590614.0,24211336.0,833321.0,6862791.0,1082.0,1530.0,24086723.0,448843.0,272.09119444444,797104.0,3150.0,0,0,1309.0,330.0,17237.0,690284.0,1,0,1275.65852777778,664950.0,182201.0,56882.0,11243.0,2238.0,173760.0,2707.0,21950.0,215.94580555556,784.0,0,3431.0,1958590.0,0,1959907.0,11240775.0,111051.0,42840.0,0,1270.0,0.0009722222222222,0,0,32567.0,7081.0,275283.0,1928402.0,24023.0,1366.0
52,2020-01-01 03:18:00,206.4,1,926806.0,1679648.0,25739026.0,873633.0,7278615.0,1172.0,1562.0,25457104.0,473568.0,287.62541666666,835869.0,3374.0,0,0,1411.0,349.0,18322.0,739841.0,1,0,1341.01997222222,702165.0,188661.0,56882.0,11804.0,2436.0,182652.0,3044.0,23186.0,227.85766666666,878.0,0,3557.0,2072075.0,0,2032525.0,11882463.0,114364.0,47960.0,0,1381.0,0.0009722222222222,0,0,34544.0,7082.0,289911.0,2005010.0,25780.0,1501.0
52,2020-01-01 03:19:00,204.6,1,1011211.0,1805188.0,27954211.0,953445.0,7774155.0,1226.0,1672.0,27422760.0,505852.0,307.29313888888,888705.0,3542.0,0,0,1462.0,382.0,19206.0,787369.0,1,0,1452.28969444444,756555.0,202565.0,59102.0,12496.0,2541.0,195340.0,3529.0,26982.0,242.00538888888,963.0,0,3668.0,2222615.0,0,2107002.0,12797703.0,118541.0,49940.0,0,1414.0,0.0009722222222222,0,0,36808.0,7082.0,312696.0,2121782.0,26457.0,1618.0
